catchment_id,2000-1,2000-2,2000-3,2000-4,2000-10,2000-11,2000-12,2000-18,2000-20,2000-21,2000-23,2000-24,2000-25,2000-26,2000-41
100061,0,0.2698,0.0352,0,0,0,0,0.16,0.0088,0.0352,0.145,0.0932,0.2527,0,0
100086,0,0.0807,0.006,0,0,0.0058,0.0164,0.4008,0.1096,0.0566,0.0429,0.1039,0.1544,0,0.0229
100068,0,0.2137,0.0184,0,0,0,0,0.3094,0.0633,0.0099,0.0225,0.0287,0.3341,0,0
100085,0.0019,0.1994,0.0291,1e-4,0.0033,0.0055,0.0171,0.3119,0.0917,0.056,0.066,0.0787,0.1189,0.0032,0.0172
159783,0,0.107,0.0031,0,0.0104,0,0.0211,0.3592,0.0495,0.02,0.052,0.0692,0.2816,0,0.027
100044,0,0,0,0,0,0,0,0.75,0,0,0,0.095,0.155,0,0
100050,0,0.0547,0.0021,0,0,0.0078,0.0055,0.4931,0.0525,0.0612,0.0123,0.1166,0.1683,0,0.0257
100051,0,0,0,0,0,0,0.0369,0.4163,0.1158,0.17,0,0,0.2611,0,0
100057,0.0013,0.1518,0.0211,0,8e-4,0.0061,0.0189,0.3441,0.0998,0.0565,0.0606,0.087,0.1294,0.0036,0.019
100063,0.0039,0.2371,0.0258,0,0.0029,0.0042,0.0234,0.2431,0.1066,0.0463,0.1014,0.0626,0.1297,0.0021,0.011
100064,0,0.1325,0.0131,6e-4,0.013,1e-4,0.028,0.3317,0.0486,0.0184,0.052,0.0734,0.2638,0,0.0249
100072,0,0,0,0,0,0,0.0071,0.5384,0,0.0054,0.0212,0.0523,0.3756,0,0
