catchment_id,2006-1,2006-2,2006-3,2006-4,2006-10,2006-11,2006-12,2006-18,2006-20,2006-21,2006-23,2006-24,2006-25,2006-41
100061,0,0.2833,0.0363,0,0,0,0,0.1486,0.0057,0.0352,0.145,0.0932,0.2527,0
100086,0,0.0835,0.0078,0,0,0.0061,0.0148,0.3964,0.1101,0.0566,0.0429,0.1039,0.1544,0.0235
100068,0,0.2007,0.0184,0,0,0,0,0.3094,0.0763,0.0099,0.0225,0.0287,0.3341,0
100085,0.0019,0.2015,0.0306,1e-4,0.0033,0.0057,0.0154,0.3118,0.0924,0.056,0.066,0.0787,0.1189,0.0176
159783,0,0.1048,0.0038,0,0.0104,4e-4,0.0201,0.359,0.0516,0.02,0.052,0.0692,0.2817,0.027
100044,0,0,0,0,0,0,0,0.75,0,0,0,0.095,0.155,0
100050,0,0.0593,0.0034,0,0,0.0067,0.0055,0.4881,0.0518,0.0612,0.0123,0.1166,0.1683,0.0267
100051,0,0,0,0,0,0,0.0369,0.4163,0.1158,0.17,0,0,0.2611,0
100057,0.0013,0.1541,0.0228,0,8e-4,0.0064,0.0171,0.3441,0.1006,0.0565,0.0606,0.087,0.1294,0.0195
100063,0.0039,0.2393,0.0268,0,0.0029,0.0043,0.0227,0.2417,0.1071,0.0463,0.1014,0.0626,0.1297,0.0113
100064,0,0.1305,0.0137,6e-4,0.013,4e-4,0.0271,0.3314,0.0506,0.0184,0.052,0.0734,0.2638,0.0249
100072,0,0,0.0054,0,0,0,0.0016,0.5378,0,0.0054,0.0212,0.0523,0.3762,0
